from,to,layer,layer_num
Albizzi,Guadagni,Marriage,1
Acciaiuoli,Medici,Marriage,1
Albizzi,Ginori,Marriage,1
Ridolfi,Tornabuoni,Marriage,1
Ridolfi,Strozzi,Marriage,1
Peruzzi,Strozzi,Marriage,1
Pazzi,Salviati,Marriage,1
Medici,Tornabuoni,Marriage,1
Medici,Salviati,Marriage,1
Medici,Ridolfi,Marriage,1
Guadagni,Tornabuoni,Marriage,1
Castellani,Strozzi,Marriage,1
Castellani,Peruzzi,Marriage,1
Bischeri,Strozzi,Marriage,1
Bischeri,Peruzzi,Marriage,1
Bischeri,Guadagni,Marriage,1
Barbadori,Medici,Marriage,1
Barbadori,Castellani,Marriage,1
Albizzi,Medici,Marriage,1
Guadagni,Lamberteschi,Marriage,1
Medici,Tornabuoni,Business,2
Medici,Salviati,Business,2
Medici,Pazzi,Business,2
Lamberteschi,Peruzzi,Business,2
Guadagni,Lamberteschi,Business,2
Ginori,Medici,Business,2
Castellani,Peruzzi,Business,2
Castellani,Lamberteschi,Business,2
Bischeri,Peruzzi,Business,2
Bischeri,Lamberteschi,Business,2
Bischeri,Guadagni,Business,2
Barbadori,Peruzzi,Business,2
Barbadori,Medici,Business,2
Barbadori,Ginori,Business,2
Barbadori,Castellani,Business,2